id;sample;title;author;year;coef;significance;coded;tot_attributes;tasks;n_levels_biggests_attribute;n_sample
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.03;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.025;0;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.015;0;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;-0.22;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.06;1;FIGURE 3;5;3;5;1500
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.065;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.07;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.085;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;-0.01;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.025;0;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.07500000000000001;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;-0.015;0;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.01;0;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.09;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.025;0;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.135;1;FIGURE 1 ;8;2;3;2194
3;1;How Clients Select Brokers: Competition and Choice in India's Slums;Auerbach & Thachil;2018;0.085;1;FIGURE 1 ;8;2;3;2194
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.02;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.11;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.24000000000000002;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.02;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.11;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.22;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.07;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.125;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.01;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.015;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.01;0;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.034999999999999996;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.045;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.06;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.034999999999999996;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.055;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.09;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.115;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.11;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.08;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.135;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.09;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.07;1;FIGURE 1;7;8;6;2000
4;1;The Structure of American Income Tax Policy Preferences;Ballard-Rosa, Martin, & Scheve;2017;0.03;1;FIGURE 1;7;8;6;2000
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.095;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.17;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.265;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.32999999999999996;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;0.03;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.02;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;-0.05;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;0.09;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;0.10500000000000001;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;0.025;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
5;1;Interests, Norms and Support for the Provision of Global Public Goods: The Case of Climate Co-operation;Bechtel, Genovese, & Scheve;2019;0.09;1;FIGURE 1, ESTIMATES OF THE FULL SAMPLE;4;1;5;8500
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.03;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.065;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.165;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.005;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.5;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.115;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.015;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.005;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.095;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.03;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.025;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.025;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.02;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.09;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.005;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.025;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.01;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.085;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.02;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;-0.025;1;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.005;0;FIGURE 3;6;4;6;4655
6;1;Policy Design and Domestic Support for International Bailouts;Bechtel, Hainmueller, & Margalit;2017;0.085;1;FIGURE 3;6;4;6;4655
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.065;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.034999999999999996;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.05;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.04;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.13;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.07;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.06;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.11;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.09;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.06;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.02;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.04;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.01;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.015;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.034999999999999996;1;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.02;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;0.01;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.005;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.01;0;FIGURE 1;6;4;5;2700
7;1;Reforms and Redistribution: Disentangling the Egoistic and Sociotropic Origins of Voter Preferences;Bechtel & Liesch;2020;-0.01;0;FIGURE 1;6;4;5;2700
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.03;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.02;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.015;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.015;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.09;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.02;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.01;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.01;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.05;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.1;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.19;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.26;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.31;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.325;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.005;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.135;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.24000000000000002;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.07500000000000001;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.015;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.06;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.06;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;0.07500000000000001;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.01;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.01;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.005;0;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.03;1;APPENDIX, FIGURE 5;6;7;8;1571
8;1;Attribute Affinity: U.S. Natives' Attitudes Toward Immigrants;Berinsky, Rizzo, Rosenzweig, & Heaps;2020;-0.04;1;APPENDIX, FIGURE 5;6;7;8;1571
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.13;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.3;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.32;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.10500000000000001;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.13;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.07500000000000001;1;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.015;0;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.02;0;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;-0.01;0;APPENDIX, Figure S.5;5;5;4;1899
9;1;Legislator Dissent as a Valence Signal;Campbell, Cowley, Vivyan, & Wagner;2019;0.025;1;APPENDIX, Figure S.5;5;5;4;1899
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.065;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.025;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;-0.045;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.1;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.125;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.12000000000000001;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.055;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.07500000000000001;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.07500000000000001;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.17;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;-0.015;0;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;0.04;1;APPENDIX, Figure S.5;6;5;4;1719
10;1;Why Friends and Neighbors? Explaining the Electoral Appeal of Local Roots;Campbell, Cowley, Vivyan, & Wagner;2019;-0.01;0;APPENDIX, Figure S.5;6;5;4;1719
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.05;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.1;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.12;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.2;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.1;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.05;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.18;1;FIGURE 1;8;1;5;869
11;1;Who wants to hire a more diverse faculty? A conjoint analysis of faculty and student preferences for gender and racial/ethnic diversity;Carey et al.;2018;0.31;1;FIGURE 1;8;1;5;869
